file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,7,1,2,54,526409,0,8388608,0,1048576,814
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,7,1,2,54,526409,0,8388608,0,1048576,810
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,7,1,2,54,380703,0,6066680,0,758335,610
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,8,1,3,10109,1575044,0,4194304,0,1048576,910
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,8,1,3,10112,1575044,0,4194304,0,1048576,938
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,8,1,3,10109,1575044,0,4194304,0,1048576,936
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,8,1,3,10109,1575044,0,4194304,0,1048576,935
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,8,1,3,10110,1575044,0,4194304,0,1048576,931
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,8,1,3,10109,1139087,0,3033340,0,758335,673
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,9,1,3,9875,1575044,0,4194304,0,1048576,886
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,9,1,3,9869,1575044,0,4194304,0,1048576,883
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,9,1,3,9869,1575044,0,4194304,0,1048576,905
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,9,1,3,9869,1575044,0,4194304,0,1048576,892
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,9,1,3,9869,1575044,0,4194304,0,1048576,896
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,9,1,3,9873,1139087,0,3033340,0,758335,669
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,10,1,3,10201,1575044,0,4194304,0,1048576,892
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,10,1,3,10209,1575044,0,4194304,0,1048576,890
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,10,1,3,10205,1575044,0,4194304,0,1048576,890
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,10,1,3,10205,1575044,0,4194304,0,1048576,899
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,10,1,3,10197,1575044,0,4194304,0,1048576,890
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,10,1,3,10207,1139087,0,3033340,0,758335,672
/dev/shm/with_compression/parquet-1/nation.parquet,0,0,1,2,103,30,0,100,0,25,127
/dev/shm/with_compression/parquet-1/nation.parquet,0,1,1,2,22,22,0,100,0,25,69
/dev/shm/with_compression/parquet-1/part.parquet,0,0,1,3,800459,278816,551424,1048576,68928,131072,1463
/dev/shm/with_compression/parquet-1/part.parquet,0,1,1,2,204,150418,0,800000,0,200000,162
/dev/shm/with_compression/parquet-1/part.parquet,0,2,1,2,86254,375427,0,1600000,0,200000,390
/dev/shm/with_compression/parquet-1/partsupp.parquet,0,0,1,6,1008276,1112750,2205696,4194304,275712,524288,2916
/dev/shm/with_compression/parquet-1/partsupp.parquet,0,1,1,3,40033,1401678,0,6400000,0,800000,910
/dev/shm/with_compression/parquet-1/partsupp.parquet,0,2,1,3,40083,1401678,0,6400000,0,800000,873
/dev/shm/with_compression/parquet-1/partsupp.parquet,0,3,1,3,481616,1701693,0,6400000,0,800000,1635
/dev/shm/with_compression/parquet-1/region.parquet,0,0,1,2,22,13,0,20,0,5,163
/dev/shm/with_compression/parquet-1/supplier.parquet,0,0,1,2,40045,17535,0,80000,0,10000,246
